"Database name","Alternative name","Integbio Database Catalog ID",DOI,Creator,"Database classification","Database classification (Free style)",Organism,"Organism (Free style)","Database description","Features and manner of utilization of database","Background and funding","Background and funding (Free style)",Reference(s),"Database maintenance site","URL of the original website","Operation start date","Last update date","URL of the portal site","Whole data download","Referenced database","Entry list","Query search","Web services","URL of Web services","Need for user registration"
Q-TARO,"QTL Annotation Rice Online database","nbdc01234
",10.18908/lsdba.nbdc01234-000,"""Junichi Yonemaru"",""National Institute of Agrobiological Sciences"",,,,,0
","""Nucleotide Sequence Databases""
",,"""Oryza sativa"",4530
",,"This is a database of Rice QTL information extracted from published research papers.
From 1214 reports, we selected 5096 QTLs. The positions of these QTLs were estimated from the physical positions of either two flanking markers (the genomic positions of the distal ends of the two markers) or a co-segregated single marker (between the start and end positions on the genome). If the QTLs were isolated by map-based cloning, the position of the BAC/PAC clone or gene locus was used. By screening for redundancy of traits at the same physical positions, as of March 31 of 2008, we selected 1051 QTLs extracted from 463 reports as representative QTLs. To arrange QTL information, we constructed QTL database (QTL Annotation Rice Online database; Q-TARO, http://qtaro.abr.affrc.go.jp/) consists of two web interfaces. One interface is a table containing information on the mapping of each QTL and its genetic parameters. The other interface is a genome viewer for viewing genomic locations of the QTLs. Currently, update of QTL information is not continued.","Over the past two decades, genetic dissection of complex phenotypes of economic and biological interest has revealed the chromosomal locations of many quantitative trait loci (QTLs) in rice and their contributions to phenotypic variation. Mapping resolution has varied considerably among QTL studies, owing to differences in population size and number of DNA markers used. Additionally, the same QTLs have often been reported with different locus designations. This situation has made it difficult to determine allelic relationships among QTLs and to compare their positions. To facilitate reliable comparisons of rice QTLs, we extracted QTL information from published research papers and constructed a database of 1051 representative QTLs, which we classified into 21 trait categories. Q-TARO clearly displays the co-localization of QTLs and distribution of QTL clusters on the rice genome.","""Integrated Research Project for Plant, Insect and Animal using Genome Technology, QT-1006"",200902278543564818,
""Genomics for Agricultural Innovation, GIR-1003"",201402275902165283,
","This work was supported by a grant from the Ministry of Agriculture, Forestry and Fisheries of Japan (Integrated Research Project for Plant, Insect and Animal using Genome Technology, QT-1006, and Genomics for Agricultural Innovation, GIR-1003).","""Q-TARO: QTL Annotation Rice Online Database"",""Jun-ichi Yonemaru, Toshio Yamamoto, Shuichi Fukuoka, Yusaku Uga, Kiyosumi Hori, Masahiro Yano"",""Rice, September 2010, Volume 3, Issue 2-3, pp 194-203"",,201302271335420479
","National Institute of Agrobiological Sciences","http://qtaro.abr.affrc.go.jp/
",2009-11-15,2010-06-01,http://agrid.dna.affrc.go.jp/cgi-bin/sogo.cgi?class=719&lang=en,,,1,1,,,
RED,"Rice Expression Database","nbdc00315
",10.18908/lsdba.nbdc00315-000,"""Shoshi Kikuchi"",""National Institute of Agrobiological Sciences"",200901036690986909,read0006027,,200901100360463187,0
","""Plant databases - Rice""
","""Microarray, Gene Expression""
","""Oryza sativa"",4530
",,"The Rice Expression Database (RED) is a database that aggregates the gene expression data that has been analyzed using 8987EST array in the Microarray Project that was underway as part of the Rice Genome Project. RED holds raw and normalized data from expression profiles obtained by the Rice Microarray Project and other research groups.","If you are interested in a particular research subject, can find the appropriate ""Research ID"" from the red_subject_info table. You will then get the experimental data for the selected research.
Also, you can find the Accession number for a particular gene from the red_est table. Then, you will then get expression profiles under various experimental conditions against results of Array-BLAST.","""Analysis of gene functions in the rice genome by using the gene expression monitoring technique (commonly called as """"the Microarray project"""") (1999-2003)"",,5
",,"""Rice Expression Database: the gateway to rice functional genomics"",""Junshi Yazaki, Naoki Kishimoto, Masahiro Ishikawa and Shoshi Kikuchi"",""Trends in Plant Science (2002) Dec 7 (12):563-564"",,201102151520048780
","National Institute of Agrobiological Sciences","http://red.dna.affrc.go.jp/RED/
",2000-10-01,,http://agrid.dna.affrc.go.jp/,,DDBJ,1,1,,,
"RED II INAHO","Rice Expression Database II INAHO","nbdc01557
",10.18908/lsdba.nbdc01557-000,"""Shoshi Kikuchi"",""National Institute of Agrobiological Sciences"",200901036690986909,read0006027,,200901100360463187,0
","""Plant databases - Rice""
","""Microarray, Gene Expression""
","""Oryza sativa"",4530
",,"The Rice Expression Database II INAHO (RED II INAHO) is a database that analyzed the gene expression of rice using a 60-mer oligonucleotide microarray to examine transcriptional profiling of genes responsive to abscisic acid and gibberellin in rice.","You can get the experimental data from the redii_inaho_experiment table. Also, you can find the Accession number for a particular gene from the redii_inaho_probe table. Then, you will then get expression profiles under various experimental conditions against results of Array-BLAST.
 
References:
Yazaki J, Kishimoto N, Nagata Y, Ishikawa M, Fujii F, Hashimoto A, Shimbo K, Shimatani Z, Kojima K, Suzuki K, Yamamoto M, Honda S, Endo A, Yoshida Y, Sato Y, Takeuchi K, Toyoshima K, Miyamoto C, Wu J, Sasaki T, Sakata K, Yamamoto K, Iba K, Oda T, Otomo Y, Murakami K, Matsubara K, Kawai J, Carninci P, Hayashizaki Y, Kikuchi S.
Genomics approach to abscisic acid- and gibberellin-responsive genes in rice.
DNA Res. 2003 Dec 31;10(6):249-61.
PMID: 15029956
 
Yazaki J, Shimatani Z, Hashimoto A, Nagata Y, Fujii F, Kojima K, Suzuki K, Taya T, Tonouchi M, Nelson C, Nakagawa A, Otomo Y, Murakami K, Matsubara K, Kawai J, Carninci P, Hayashizaki Y, Kikuchi S.
Transcriptional profiling of genes responsive to abscisic acid and gibberellin in rice: phenotyping and comparative analysis between rice and Arabidopsis.
Physiol Genomics. 2004 Apr 13;17(2):87-100.
PMID: 14982972","""Phase 2 of Rice Genome Research Project (1998-2004)"",,5
",,,"National Institute of Agrobiological Sciences","http://red.dna.affrc.go.jp/INAHO/
",2009-04-01,2009-04-01,http://agrid.dna.affrc.go.jp/,,DDBJ,1,1,,,
"RGP caps","RGP: 332 PCR-based genetic markers on rice chromosomes","nbdc00318
",10.18908/lsdba.nbdc00318-05-000,"""Kimiko Yamamoto"",""National Institute of Agrobiological Sciences"",,,,,0
""Jianzhong Wu"",""National Institute of Agrobiological Sciences"",,,,,0
""Takuji Sasaki"",""National Institute of Agrobiological Sciences"",,,,,1
","""Plant databases - Rice""
","Sequence
""PCR-based marker""
","""Oryza sativa"",4530
",,"We have developed 332 PCR-based genetic markers including 161 sequence tagged site (STS) markers and 171 cleaved amplified polymorphic sequence (CAPS) markers.This site shows all information for these markers.","The table (chr 1 to chr 12) summarizes all information for STS and CAPS markers, such as chromosomal location, primer sequences, size of amplified fragment (Nipponbare), restriction enzyme, etc. These markers have been developed to detect polymorphism between Nipponbare (japonica) and Kasalath (indica). Although detection of polymorphism of these markers will depend on the combination of varieties or lines, they may be used for the analysis of other combinations.
Because this archive has been created based on the following data of the last update date, it may not match the data in the current situation.","""Phase 2 of Rice Genome Research Project (1998-2004)"",,5
",,,"National Institute of Agrobiological Sciences","http://rgp.dna.affrc.go.jp/E/publicdata/caps/index.html
",2002-02-10,2002-02-10,http://rgp.dna.affrc.go.jp/E/,,,1,,,,
"RGP estmap2001","RGP : A YAC-Based Rice Transcript Map Containing 6591 EST Sites","nbdc00318
",10.18908/lsdba.nbdc00318-04-000,"""Jianzhong Wu"",""National Institute of Agrobiological Sciences"",,,,,0
""Takashi Matsumoto"",""National Institute of Agrobiological Sciences"",,,,,0
""Takuji Sasaki"",""National Institute of Agrobiological Sciences"",,,,,1
","""Plant databases - Rice""
","Genome
Sequence
","""Oryza sativa"",4530
",,"This database provides the information about the YAC-based rice transcript map (Wu et al, Plant Cell 14, 2002), containing 6591 EST sites that was used for the map construction.","We provide the detailed contents of the YAC-based rice transcript map with the following tables and figures (together Microsoft Excel format and pdf format for your download). Tables contain the detailed results of PCR-based YAC screening with the clone-specific EST primers. Figures contain the rice genetic and YAC physical maps with the assigned EST sites.
Because this archive has been created based on the following data of the last update date, it may not match the data in the current situation.","""Phase 2 of Rice Genome Research Project (1998-2004)"",,5
",,"""A comprehensive rice transcript map containing 6591 expressed sequence tag sites."",""Wu J, Maehara T, Shimokawa T, Yamamoto S, Harada C, Takazaki Y, Ono N, Mukai Y, Koike K, Yazaki J, Fujii F, Shomura A, Ando T, Kono I, Waki K, Yamamoto K, Yano M, Matsumoto T, Sasaki T."",""The Plant Cell / 2002 Mar / 14(3):525-535"",11910001,200902141547705232
","National Institute of Agrobiological Sciences","http://rgp.dna.affrc.go.jp/E/publicdata/estmap2001/index.html
",2002-02-16,2002-02-16,http://rgp.dna.affrc.go.jp/E/,,"MAFF_Rice cDNA Clone
DDBJ",1,,,,
"RGP gmap","RGP : RICE GENETIC MAP IN NATURE GENETICS","nbdc00318
",10.18908/lsdba.nbdc00318-01-000,"""Yuzo Minobe"",""National Institute of Agrobiological Sciences"",,,,,1
""Nori Kurata"",""National Institute of Agrobiological Sciences"",,,,,0
""Yoshiaki Nagamura"",""STAFF Institute"",,,,,0
""Masahiro Yano"",""National Institute of Agrobiological Sciences"",,,,,0
""Takuji Sasaki"",""National Institute of Agrobiological Sciences"",,,,,0
","""Plant databases - Rice""
","""Sequence, Gene Expression""
","""Oryza sativa"",4530
",,"RICE GENETIC MAP IN NATURE GENETICS is a database of 1381 DNA markers that were used to create the rice genetic map. The rice genetic map is published in the Nature Genetics volume 8, 365-372, December 1994.","The rice genetic map consists of 1381 RFLP markers (1993 version) mapped on a Nipponbare (japonica) and a Kasalath (indica) F2 intercross.
Because this archive has been created based on the following data of the last update date, it may not match the data in the current situation.","""Phase 1 of Rice Genome Research Project (1991-1997)"",,5
",,"""A 300 kilobase interval genetic map of rice including 883 expressed sequences"",""N. Kurata, Y. Nagamura, K. Yamamoto, Y. Harushima, N. Sue, J. Wu, B.A. Antonio, A. Shomura, T. Shimizu, S-Y. Lin, T. Inoue, A. Fukuda, T. Shimano, Y. Kuboki, T. Toyama, Y. Miyamoto, T. Kirihara, K. Hayasaka, A. Miyao, L. Monna, H.S. Zhong, Y. Tamura, Z-X. Wang, T. Momma, Y. Umehara, M. Yano, T. Sasaki, Y. Minobe"",""Nature Genetics, 8: 365-372 (1994)"",7894488,200902160772912713
","National Institute of Agrobiological Sciences","http://rgp.dna.affrc.go.jp/E/publicdata/naturegenetics/ricegmap.html
",1994-08-08,1995-09-26,http://rgp.dna.affrc.go.jp/E/,http://rgp.dna.affrc.go.jp/pub/gmap/naturegenetics/,DDBJ,1,,,,
"RGP gmap2000","RGP: The Latest High-Density Rice Genetic Map, Including 3267 Markers","nbdc00318
",10.18908/lsdba.nbdc00318-03-000,"""Yoshiaki Harushima"",""STAFF Institute"",,,,,0
""Nori Kurata"",""National Institute of Agrobiological Sciences"",,,,,0
""Yoshiaki Nagamura"",""STAFF Institute"",,,,,0
""Masahiro Yano"",""National Institute of Agrobiological Sciences"",,,,,0
""Takuji Sasaki"",""National Institute of Agrobiological Sciences"",,,,,1
","""Plant databases - Rice""
","Genome
Sequence
","""Oryza sativa"",4530
",,"We provide here the 2000 version of linkage map, which consists of 3267 RFLP marker information including nearly 1000 new RFLP markers which was produced after our high-density RFLP linkage map publication of 1998.","The data are shown in a table for each of the 12 chromosomes. The tables include the map position from the telomeric end of the short arm of each chromosome (genetic distance in cM), the marker name, and (where available) DDBJ accession numbers of the sequences of both the 5' and 3' ends of insert fragments of the probes used in the RFLP analysis.
Because this archive has been created based on the following data of the last update date, it may not match the data in the current situation.","""Phase 2 of Rice Genome Research Project (1998-2004)"",,5
",,,"National Institute of Agrobiological Sciences","http://rgp.dna.affrc.go.jp/E/publicdata/geneticmap2000/index.html
",2000-11-30,2000-11-30,http://rgp.dna.affrc.go.jp/E/,,"MAFF_Rice cDNA Clone
DDBJ",1,,,,
"RGP gmap98","RGP: A HIGH-DENSITY RICE GENETIC MAP","nbdc00318
",10.18908/lsdba.nbdc00318-02-000,"""Yoshiaki Harushima"",""STAFF Institute"",,,,,0
""Nori Kurata"",""National Institute of Agrobiological Sciences"",,,,,0
""Yoshiaki Nagamura"",""STAFF Institute"",,,,,0
""Masahiro Yano"",""National Institute of Agrobiological Sciences"",,,,,0
""Takuji Sasaki"",""National Institute of Agrobiological Sciences"",,,,,1
","""Plant databases - Rice""
","Genome
Sequence
","""Oryza sativa"",4530
",,"According to the publication of our high-density RFLP linkage map in the journal ""Genetics"" (January 1998), we provide here a large amount of relevant data that can not be published in the form of a printed paper.","The rice genetic map consists of 2275 RFLP markers mapped on a Nipponbare (japonica) and a Kasalath (indica) F2 intercross. The data includes isozyme loci and a table linked with parental Southern images of each probe and Nucleotide sequence, and other related clone information. The table also includes the results of similarity search of mapped clones. Because this archive has been created based on the following data of the last update date, it may not match the data in the current situation.","""Phase 1 of Rice Genome Research Project (1991-1997)"",,5
""Phase 2 of Rice Genome Research Project (1998-2004)"",,5
",,"""A High-Density Rice Genetic Linkage Map with 2275 Markers Using a Single F2 Population"",""Y Harushima, M Yano, A Shomura, M Sato, T Shimano, Y Kuboki, T Yamamoto, S Y Lin, B A Antonio, A Parco, H Kajiya, N Huang, K Yamamoto, Y Nagamura, N Kurata, G S Khush, and T Sasaki"",""Genetics January 1, 1998 vol.148 no.1 479-494"",9475757,200902197633285071
","National Institute of Agrobiological Sciences","http://rgp.dna.affrc.go.jp/E/publicdata/geneticmap98/geneticmap98.html
",1998-01-17,1998-01-17,http://rgp.dna.affrc.go.jp/E/,http://rgp.dna.affrc.go.jp/pub/geneticmap98/,DDBJ,1,,,,
"RGP physicalmap","Rice Genome Mapping and Sequencing Data from RGP, STAFF/NIAR, Japan","nbdc00318
",10.18908/lsdba.nbdc00318-06-000,"""Yosuke Umehara"",""National Institute of Agrobiological Sciences"",,,,,0
""Nori Kurata"",""National Institute of Agrobiological Sciences"",,,,,0
""Takuji Sasaki"",""National Institute of Agrobiological Sciences"",,,,,1
","""Plant databases - Rice""
","Sequence
""Physical map""
","""Oryza sativa"",4530
",,"This site contains a physical map information of rice using yeast artificial chromosome (YAC) clones selected with the Rice Genome Research Program (RGP) DNA markers from 1994 through 1997 version. A rice YAC library of RGP was constructed from cultured cells of Oryza sativa L. cv. Nipponbare and contains 6934 clones with 350 kb average insert length.","You can see the data files of yeast artificial chromosome (YAC) clones by figures and tables, which clones were selected with DNA markers in the Rice Genome Research Program (RGP) for each chromosome. In the tables, YAC clones selected with RGP DNA markers for each chromosome are shown along with the markers and the genetic distances. In the figures, the YAC physical maps of each divided region on the chromosomes are shown.
Because this archive has been created based on the following data of the last update date, it may not match the data in the current situation.","""Phase 1 of Rice Genome Research Project (1991-1997)"",,5
",,"""Construction and characterization of a rice YAC library for physical mapping"",""Yosuke Umehara, Akiko Inagaki, Hiroshi Tanoue, Yuji Yasukochi, Yoshiaki Nagamura, Shoko Saji, Yoshiaki Otsuki, Tatsuhito Fujimura, Nori Kurata, Yuzo Minobe"",""Molecular Breeding (1995) 1(1): 79-89."",,201102160412318215
""A 300 kilobase interval genetic map of rice including 883 expressed sequences"",""N. Kurata, Y. Nagamura, K. Yamamoto, Y. Harushima, N. Sue, J. Wu, B.A. Antonio, A. Shomura, T. Shimizu, S-Y. Lin, T. Inoue, A. Fukuda, T. Shimano, Y. Kuboki, T. Toyama, Y. Miyamoto, T. Kirihara, K. Hayasaka, A. Miyao, L. Monna, H.S. Zhong, Y. Tamura, Z-X, Wang, T. Momma, Y. Umehara, M. Yano, T. Sasaki and Y. Minobe"",""Nature Genetics (1994) 8: 365-372."",7894488,200902160772912713
""Physical Mapping of Rice Chromosome 1 with Yeast Artificial Chromosomes (YACs)"",""Zi-Xuan Wang, Atsuko Idonuma, Yosuke Umehara, Wim Van Houten, Ikuo Ashikawa, Yuzo Minobe, Nori Kurata and Takuji Sasaki"",""DNA Research (1996) 3(5): 291-296."",9039498,200902157484906589
""Yeast Artificial Chromosome Clones of Rice Chromosome 2 Ordered Using DNA Markers"",""Yosuke Umehara, Nori Kurata, Ikuo Ashikawa and Takuji Sasaki"",""DNA Research (1997) 4(2): 127-131."",9205839,200902176636764127
""Ordered YAC Clone Contigs Assigned to Rice Chromosomes 3 and 11"",""Hiroshi Tanoue, Takanori Shimokawa, Jianzhong Wu, Norio Sue, Yosuke Umehara, Ikuo Ashikawa, Nori Kurata and Takuji Sasaki"",""DNA Research (1997) 4(2): 133-140."",9205840,200902147422655711
""Physical Mapping of Rice Chromosomes 4 and 7 Using YAC Clones"",""Kazuhiro Koike, Katsuhiko Yoshino, Norio Sue, Yosuke Umehara, Ikuo Ashikawa, Nori Kurata and Takuji Sasaki"",""DNA Research (1997) 4(1): 27-33."",9179493,200902152416086563
""Construction of YAC Contigs on Rice Chromosome 5"",""Shoko Saji, Yosuke Umehara, Nori Kurata, Ikuo Ashikawa and Takuji Sasaki"",""DNA Research (1996) 3(5): 297-302."",9039499,200902133976765070
""An ordered yeast artificial chromosome library covering over half of rice chromosome 6"",""Y Umehara, H Tanoue, N Kurata, I Ashikawa, Y Minobe, and T Sasaki"",""Genome Research (1996) 6(10): 935-942."",8908512,200902114514925426
""Physical mapping of rice chromosomes 8 and 9 with YAC clones"",""Baltazar A. Antonio, Makiko Emoto, Jianzhong Wu, Ikuo Ashikawa, Yosuke Umehara, Nori Kurata and Takuji Sasaki"",""DNA Research (1996) 3(6): 393-400."",9097041,200902132773353811
""Assignment of YAC Clones Spanning Rice Chromosomes 10 and 12"",""Takanori Shimokawa, Nori Kurata, Jianzhong Wu, Yosuke Umehara, Ikuo Ashikawa and Takuji Sasaki"",""DNA Research (1996) 3(6): 401-406."",9097042,200902132373997140
","National Institute of Agrobiological Sciences","http://rgp.dna.affrc.go.jp/E/publicdata/physicalmap/physicalmap.html
",1997-07-09,1998-08-24,http://rgp.dna.affrc.go.jp/E/,,DDBJ,1,,,,
RMG,"Rice Mitochondrial Genome","nbdc00193
",10.18908/lsdba.nbdc00193-000,"""Kouichi Kadowaki"",""National Agriculture and Food Research Organization"",,,,,0
","""Nucleotide Sequence Databases""
",,"""Oryza sativa Japonica Group"",39947
",,"This database contains information on the rice mitochondrial genome. You can refer entire sequence of rice mitochondrial genome and information on the analysis results.","The mitochondrial genome information can be used as standard for analysis of the mitochondria of major cereal crops such as corn and wheat as well as other monocotyledonous plants.","""""""Pioneer Research Project"""" (2001-2003) of the National Institute of Agrobiological Sciences"",,
""""""Grant-in-Aid for Scientific Research""""  (2001-2003) of the University of Tokyo"",,
","This database was constructed using the research results of the National Institute of Agrobiological Sciences and the University of Tokyo.","""The complete sequence of the rice (Oryza sativa L.) mitochondrial genome: frequent DNA sequence acquisition and loss during the evolution of flowering plants."",""Notsu Y, Masood S, Nishikawa T, Kubo N, Akiduki G, Nakazono M, Hirai A, Kadowaki K."",""Mol Genet Genomics (2002) 268: 434?445"",12471441,200902106776080041
","National Institute of Agrobiological Sciences","http://rmg.rice.dna.affrc.go.jp/
",2002-09-25,2002-09-25,http://agrid.dna.affrc.go.jp/cgi-bin/sogo.cgi?class=719&lang=en,,,1,,,,
RMOS,"Rice Microarray Opening Site","nbdc00194
",10.18908/lsdba.nbdc00194-000,"""Shoshi Kikuchi"",""National Institute of Agrobiological Sciences"",,,,,0
","""Plant databases - Rice""
""Microarray Data and other Gene Expression Databases""
",,"""Oryza sativa"",4530
",,"The Rice Microarray Opening Site is a database of comprehensive information for Rice Microarray Project (April 1999 - March 2003). Microarray is the powerful tool for understanding comprehensive gene expression at genome-wide level (for details, refer to the Technical Background Section). By using this system, it has become possible to isolate the genes quickly that confer resistances or are responsive to cold temperature, drought, unsuitable soil condition, insect pest and disease, etc. It has become possible by using this system to begin to quickly isolate the genes that confer such resistance. Also it has become possible to isolate which genes are expressed in particular tissues and organs.","You can refer to the information of the general background for Microarray techniques and the research data related to the custom microarray we developed.","""Analysis of gene functions in the rice genome by using the gene expression monitoring technique (commonly called as """"the Microarray project"""") (1999-2003)"",,5
",,"""Chapter 2  Comprehensive Analysis of Rice Gene Expression Using the Microarray System: What We have Learned from the Microarray Project"",""S.Kikuchi J. Yazaki N. Kishimoto M. ishikawa D. Endo"",""Rice Improvement in the Genomics Era, edited by Swapan K. Datta, CRC Press  NY, 2009, pp.15-58, ISBN 978-1-56022-952-0"",,
","National Institute of Agrobiological Sciences
*The original website was terminated.",,2001-01-12,2004-03-16,http://agrid.dna.affrc.go.jp/cgi-bin/sogo.cgi?class=719&lang=en,,"Rice Expression Database (RED)
Rice full-length cDNA Database (KOME)
Rice Genome Integrated Map Database (INE)
Rice Mutant Panel Database (Tos17)
Rice Genome Annotation Database (RiceGAAS)
Plant Cis-Element motif search Database (PLACE)
Rice Proteome Database (RPD)
NIAS DNA Bank",1,1,,,
RPD,"Rice Proteome Database","nbdc00191
",10.18908/lsdba.nbdc00191-000,"""Setsuko Komatsu"",""National Institute of Crop Science, National Agriculture and Food Research Organization"",200901069795436691,read0004407,,200901100492668861,0
","""Proteomics Resources""
""Plant databases - Rice""
",,"""Oryza sativa"",4530
",,"Rice Proteome Database contains information on proteins identified from several organs and organelles on two-dimensional polyacrylamide gel electrophoresis (2D-PAGE) reference maps.","Proteins extracted from organs and subcellular compartments in rice on various growing stages were separated by 2D-PAGE. Based on 23 reference maps of 2D-PAGE, each of the proteins was purified and sequenced by gas-phase protein sequencer or mass spectrometry.
14724 identified proteins were mapped by 2D-PAGE. The information on 6011 proteins (e.g. Mw, pI, expression, the amino acid sequence and the result of homology searches) was cataloged and entered in the Rice Proteome Database.
The database is searchable by keyword, accession number, protein name, pI, Mw and amino acid sequence, or by selection of a spot on one of the 2D-PAGE maps. Cross-references are provided to tools for proteomics and to other databases.","""Analysis and database construction for tissue-specific and subcellular-localized proteins from rice."",,
",,"""Rice proteome database: a step toward functional analysis of the rice genome."",""Komatsu S."",""Plant Mol Biol. 2005 Sep;59(1):179-90."",16217611,200902229284654322
""Rice proteomics: a step toward functional analysis of the rice genome."",""Komatsu S, Konishi H, Shen S, Yang G."",""Mol Cell Proteomics. 2003 Jan;2(1):2-10."",12601077,
""Rice Proteome Database based on two-dimensional polyacrylamide gel electrophoresis: its status in 2003."",""Komatsu S, Kojima K, Suzuki K, Ozaki K, Higo K."",""Nucleic Acids Res. 2004 Jan 1;32(Database issue):D388-92."",14681440,200902281698589729
""Proteomics of the rice cell: systematic identification of the protein populations in subcellular compartments."",""Tanaka N, Fujita M, Handa H, Murayama S, Uemura M, Kawamura Y, Mitsui T, Mikami S, Tozawa Y, Yoshinaga T, Komatsu S."",""Mol Genet Genomics. 2004 Jun;271(5):566-76. Epub 2004 Apr 7."",15069638,200902274762902596
""Proteome analysis of rice tissues by two-dimensional electrophoresis: an approach to the investigation of gibberellin regulated proteins."",""Tanaka N, Konishi H, Khan MM, Komatsu S."",""Mol Genet Genomics. 2004 Jan;270(6):485-96. Epub 2003 Nov 21."",14634867,200902249762505010
""Update and challenges on proteomics in rice."",""Komatsu S, Yano H."",""Proteomics. 2006 Jul;6(14):4057-68."",16786487,201102204445147847
","National Institute of Agrobiological Sciences","http://gene64.dna.affrc.go.jp/RPD/
",2003-01-07,2004-04-01,http://agrid.dna.affrc.go.jp/,,"KOME, NCBI",1,1,,,
RPSD,"Rice Protein Structure Database",,10.18908/lsdba.nbdc00749-000,"""Toshimasa Yamazaki"",""National Institute of Agrobiological Sciences"",,,,,0
","""Structure Databases - Protein structure""
",,"""Oryza sativa"",4530
""Sorghum bicolor"",4558
""Zea mays"",4577
""Hordeum vulgare"",4513
""Triticum aestivum"",4565
""Arabidopsis thaliana"",3702
""Glycine max"",3847
",,"We have determined the three-dimensional structures of the protein of seven kinds of plants such as rice, and have put together the result and related informations. This database contains the basic information of the protein, that assumed Protein Data Bank a source of information, experimental methods used for the structure determination, literature information, sequence, the image of the three-dimensional structures, and so on.","A purpose of this study is to elucidate the correlation of ""the three-dimensional structures and a function and phenotype of the protein"" and the mechanisms of functional expression of the protein, in the resolving power of the atomic level, about the gene which is assumed to be important academically or agriculturally and industrially, utilizing  gene information, full-length cDNA, and so on, which was provided by the rice genome project, for general elucidation of the rice plant function and development of a policy to use a useful gene effectively. In this site, you can search the three-dimensional structures of the protein listed by each plant.","""An isolation and function elucidation using structure analysis of the protein (2002-2004, National Institute of Agrobiological Science (NIAS))"",,
",,,"National Institute of Agrobiological Sciences
*The original website is unavailable.",,,2005-02-14,http://agrid.dna.affrc.go.jp/cgi-bin/sogo.cgi?class=719&lang=en,,"ENA
InterPro
MaizeGDB
PDBj
PROSITE
Pfam
SGD
SWISS-2DPAGE",1,,,,
SAHG,"Structure Atlas of Human Genome","nbdc01193
",10.18908/lsdba.nbdc01193-000,"""Chie Motono"",""The Molecular Profiling Research Center for Drug Discovery (molprof), The National Institute of Advanced Industrial Science and Technology (AIST)"",200901023364660748,read0205706,,201550000272613160,1
""Motonori Ota"",""Graduate School of Information Sciences, Nagoya University"",200901037264166160,read0102070,,201550000256508462,0
","""Structure Databases - Protein structure""
""Human and other Vertebrate Genomes - Human ORFs""
""Protein sequence databases - Protein properties""
",,"""Homo sapiens"",9606
",,"All of the Open Reading Frames in the human genome are subjected to a fully automated, exhaustive protein-structure-prediction pipeline to generate protein structure models. SAHG contains 42,577 domain-structure models in ~24900 unique human protein sequences from the RefSeq database.","SAHG is distinct in that the prediction pipeline is focus on proteins of higher organisms, and in that conformational changes of proteins were predicted and displayed as animated image.","""JST, BIRD (Institute for Bioinformatics Research and Development)"",200904072106278644,24
",,"""SAHG, a comprehensive database of predicted structures of all human proteins"",""Chie Motono, Junichi Nakata, Ryotaro Koike, Kana Shimizu, Matsuyuki Shirota, Takayuki Amemiya, Kentaro Tomii, Nozomi Nagano, Naofumi Sakaya, Kiyotaka Misoo, Miwa Sato, Akinori Kidera, Hidekazu Hiroaki, Tsuyoshi Shirai, Kengo Kinoshita, Tamotsu Noguchi, Motonori Ota"",""Nucleic Acids Research, 2011, Vol. 39,"",21051360,201302277936997356
","The Molecular Profiling Research Center for Drug Discovery (molprof), The National Institute of Advanced Industrial Science and Technology (AIST)
* The original website was terminated.","http://bird.cbrc.jp/sahg
",2009-10,2010-06-25,,,"RefSeq, HPRD, EzCatDB, InterPro, UniProtKB/Swiss-Prot",1,1,1,,
